a,b,theta,E,E_p,E_t,machine_type,status,file_name
3.8,12.9,0.0,-15.52205221983604,-3.3505469743395224,-2.205239567789249,2,Done,naphthalene_theta=0_a=3.8_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,7.3,10.0,-17.26110707782209,-0.1969182855682448,-4.2168176266714,1,Done,naphthalene_theta=10_a=6.7_b=7.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,6.9,5.0,-16.909390232991427,-0.19180282403249294,-4.1314461462316086,1,Done,naphthalene_theta=5_a=6.6_b=6.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13.3,5.0,-13.754750625928864,-3.035240769619122,-1.9210672716726551,1,Done,naphthalene_theta=5_a=3.6_b=13.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,13.0,0.0,-15.272373520536348,-3.3505469743395224,-2.142819892964326,2,Done,naphthalene_theta=0_a=3.8_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,7.4,10.0,-17.137349555734545,-0.1969182855682448,-4.185878246149514,1,Done,naphthalene_theta=10_a=6.7_b=7.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,6.9,5.0,-16.837793852202598,-0.16805157053750008,-4.1254226777818985,1,Done,naphthalene_theta=5_a=6.7_b=6.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,13.0,5.0,-12.832415092387235,-2.287454045377672,-2.0643767504079733,1,Done,naphthalene_theta=5_a=3.5_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,13.1,0.0,-15.004386590095232,-3.3505469743395224,-2.075823160354048,2,Done,naphthalene_theta=0_a=3.8_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,7.0,5.0,-16.767640743870288,-0.16805157053750008,-4.107884400698821,1,Done,naphthalene_theta=5_a=6.7_b=7.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.1,10.0,-17.395694168051705,-0.2805936065269634,-4.2086267387494445,1,Done,naphthalene_theta=10_a=6.4_b=7.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13.0,5.0,-14.460297769401224,-3.035240769619122,-2.0974540575407445,1,Done,naphthalene_theta=5_a=3.6_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,7.1,5.0,-16.692118660663258,-0.16805157053750008,-4.089003879897064,1,Done,naphthalene_theta=5_a=6.7_b=7.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.8,0.0,-15.409451825194994,-3.244753808423411,-2.2299860520870425,2,Done,naphthalene_theta=0_a=3.7_b=12.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.2,10.0,-17.405345271807164,-0.2805936065269634,-4.211039514688308,1,Done,naphthalene_theta=10_a=6.4_b=7.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,6.8,5.0,-16.809773020795546,-0.2173330684308894,-4.093776720983442,1,Done,naphthalene_theta=5_a=6.5_b=6.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
