a,b,theta,A1,A2,E,E_p,E_t,machine_type,status,file_name,cx,cy,cz
7.4,5.9,26.5,0.0,-10.0,-27.187668942729946,-3.8612397127435534,-4.8662973793107085,1,Done,naphthalene_A1=0_A2=-10_a=7.4_b=5.9_theta=26_cx=0_cy=0_cz=0.log,,,
7.4,6.0,25.5,0.0,-10.0,-27.11995057365857,-3.7187058363342658,-4.92063472524751,1,Done,naphthalene_A1=0_A2=-10_a=7.4_b=6.0_theta=25_cx=0_cy=0_cz=0.log,,,
7.4,5.8,26.5,0.0,5.0,-27.79979114246089,-3.7464147954015066,-5.0767403879144695,1,Done,naphthalene_A1=0_A2=5_a=7.4_b=5.8_theta=26_cx=0_cy=0_cz=0.log,,,
7.4,5.9,25.5,0.0,5.0,-27.87227231252473,-3.693940526631195,-5.1210978148155855,1,Done,naphthalene_A1=0_A2=5_a=7.4_b=5.9_theta=25_cx=0_cy=0_cz=0.log,,,
7.4,5.8,26.0,0.0,-5.0,-27.79979114246089,-3.7464147954015066,-5.0767403879144695,2,Done,naphthalene_A1=0_A2=-5_a=7.4_b=5.8_theta=26_cx=0_cy=0_cz=0.log,,,
7.3,6.1,26.0,0.0,10.0,-26.673219929682087,-3.498176859517116,-4.919216552661965,1,Done,naphthalene_A1=0_A2=10_a=7.3_b=6.1_theta=26_cx=0_cy=0_cz=0.log,,,
7.4,6.0,26.0,0.0,-10.0,-27.038020358188074,-3.6999106568400753,-4.909549761126981,1,Done,naphthalene_A1=0_A2=-10_a=7.4_b=6.0_theta=26_cx=0_cy=0_cz=0.log,,,
7.4,5.8,26.5,0.0,-5.0,-27.80543747742195,-3.7866802295320654,-5.058019254589453,2,Done,naphthalene_A1=0_A2=-5_a=7.4_b=5.8_theta=26_cx=0_cy=0_cz=0.log,,,
7.4,5.9,26.0,0.0,5.0,-27.898740684147924,-3.71217094711028,-5.118599697481841,1,Done,naphthalene_A1=0_A2=5_a=7.4_b=5.9_theta=26_cx=0_cy=0_cz=0.log,,,
7.3,6.1,26.5,0.0,10.0,-26.52840693655889,-3.4669626295217317,-4.898620419378858,1,Done,naphthalene_A1=0_A2=10_a=7.3_b=6.1_theta=26_cx=0_cy=0_cz=0.log,,,
7.4,5.9,25.5,0.0,-5.0,-27.87227231252473,-3.693940526631195,-5.1210978148155855,2,Done,naphthalene_A1=0_A2=-5_a=7.4_b=5.9_theta=25_cx=0_cy=0_cz=0.log,,,
7.4,6.0,26.5,0.0,-10.0,-26.92426534532569,-3.6756599053624086,-4.893236383650219,1,Done,naphthalene_A1=0_A2=-10_a=7.4_b=6.0_theta=26_cx=0_cy=0_cz=0.log,,,
7.4,5.9,25.5,0.0,10.0,-27.276182993082326,-3.863766067894176,-4.887162714323496,1,Done,naphthalene_A1=0_A2=10_a=7.4_b=5.9_theta=25_cx=0_cy=0_cz=0.log,,,
7.4,5.9,26.5,0.0,5.0,-27.878126980969682,-3.7173924578819424,-5.1108355163014485,1,Done,naphthalene_A1=0_A2=5_a=7.4_b=5.9_theta=26_cx=0_cy=0_cz=0.log,,,
7.4,5.9,26.0,0.0,-5.0,-27.898740684147924,-3.71217094711028,-5.118599697481841,2,Done,naphthalene_A1=0_A2=-5_a=7.4_b=5.9_theta=26_cx=0_cy=0_cz=0.log,,,
7.4,6.1,25.5,0.0,-10.0,-26.79897293332032,-3.5257107432116754,-4.936887861724244,1,Done,naphthalene_A1=0_A2=-10_a=7.4_b=6.1_theta=25_cx=0_cy=0_cz=0.log,,,
7.4,6.0,25.5,0.0,5.0,-27.71922136854846,-3.5927965823211707,-5.133407050976532,1,Done,naphthalene_A1=0_A2=5_a=7.4_b=6.0_theta=25_cx=0_cy=0_cz=0.log,,,
7.4,5.9,26.0,0.0,10.0,-27.187670197687112,-3.861240340222139,-4.8662973793107085,1,Done,naphthalene_A1=0_A2=10_a=7.4_b=5.9_theta=26_cx=0_cy=0_cz=0.log,,,
7.4,5.9,26.5,0.0,-5.0,-27.898740684147924,-3.71217094711028,-5.118599697481841,2,Done,naphthalene_A1=0_A2=-5_a=7.4_b=5.9_theta=26_cx=0_cy=0_cz=0.log,,,
7.4,6.0,25.5,0.0,-5.0,-27.71922136854846,-3.5927965823211707,-5.133407050976532,2,Done,naphthalene_A1=0_A2=-5_a=7.4_b=6.0_theta=25_cx=0_cy=0_cz=0.log,,,
7.4,6.1,26.0,0.0,-10.0,-26.733039202634245,-3.498176859517116,-4.934171370900002,1,Done,naphthalene_A1=0_A2=-10_a=7.4_b=6.1_theta=26_cx=0_cy=0_cz=0.log,,,
7.4,6.0,26.0,0.0,5.0,-27.728527342318557,-3.5851930436911066,-5.139535313734086,1,Done,naphthalene_A1=0_A2=5_a=7.4_b=6.0_theta=26_cx=0_cy=0_cz=0.log,,,
7.4,5.9,26.5,0.0,10.0,-27.187670197687112,-3.861240340222139,-4.8662973793107085,1,Done,naphthalene_A1=0_A2=10_a=7.4_b=5.9_theta=26_cx=0_cy=0_cz=0.log,,,
7.4,6.0,25.5,0.0,10.0,-27.11995057365857,-3.7187058363342658,-4.92063472524751,1,Done,naphthalene_A1=0_A2=10_a=7.4_b=6.0_theta=25_cx=0_cy=0_cz=0.log,,,
7.4,6.1,26.5,0.0,-10.0,-26.733039202634245,-3.498176859517116,-4.934171370900002,1,Done,naphthalene_A1=0_A2=-10_a=7.4_b=6.1_theta=26_cx=0_cy=0_cz=0.log,,,
7.3,5.8,25.0,0.0,-10.0,-26.97143150656484,-3.884054721274879,-4.800830516003772,1,Done,naphthalene_A1=0_A2=-10_a=7.3_b=5.8_theta=25_cx=0_cy=0_cz=0.log,,,
7.4,6.0,26.0,0.0,-5.0,-27.728527342318557,-3.5851930436911066,-5.139535313734086,2,Done,naphthalene_A1=0_A2=-5_a=7.4_b=6.0_theta=26_cx=0_cy=0_cz=0.log,,,
7.4,6.0,26.5,0.0,5.0,-27.728527342318557,-3.5851930436911066,-5.139535313734086,1,Done,naphthalene_A1=0_A2=5_a=7.4_b=6.0_theta=26_cx=0_cy=0_cz=0.log,,,
7.2,5.8,25.0,0.0,5.0,-27.40283584676217,-3.6870423092041165,-5.007187807088485,1,Done,naphthalene_A1=0_A2=5_a=7.2_b=5.8_theta=25_cx=0_cy=0_cz=0.log,,,
7.2,5.9,25.0,0.0,5.0,-27.76283205859363,-3.693940526631195,-5.093737751332808,1,Done,naphthalene_A1=0_A2=5_a=7.2_b=5.9_theta=25_cx=0_cy=0_cz=0.log,,,
7.2,6.0,25.0,0.0,5.0,-27.80189957621041,-3.5927965823211707,-5.154076602892019,1,Done,naphthalene_A1=0_A2=5_a=7.2_b=6.0_theta=25_cx=0_cy=0_cz=0.log,,,
