a,b,theta,E,E_p,E_t,machine_type,status,file_name
6.6,7.1,10.0,-37.87239968427457,-0.6265612049028277,-9.154819318617227,2,Done,tetracene_theta=10.0_a=6.6_b=7.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,7.4,0.0,-36.195170876337215,-0.754908335278742,-8.671338551444933,1,Done,tetracene_theta=0.0_a=6.3_b=7.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.6,9.8,0.0,-36.234053906286135,-1.5732955819694323,-8.271865685586818,2,Done,tetracene_theta=0.0_a=5.6_b=9.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13.0,0.0,-33.02661937265657,-7.4900271309306845,-4.5116412776988,1,Done,tetracene_theta=0.0_a=3.6_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,7.2,5.0,-36.3730850208085,-0.7790172692621127,-8.70376262057107,2,Done,tetracene_theta=5.0_a=6.3_b=7.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.0,10.0,-37.86816524737515,-0.7660830332897604,-9.083999795198906,2,Done,tetracene_theta=10.0_a=6.4_b=7.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,13.0,5.0,-34.592106220079586,-8.191667397506535,-4.552192856266629,1,Done,tetracene_theta=5.0_a=3.7_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,7.5,0.0,-36.24371504993178,-0.754908335278742,-8.683474594843576,1,Done,tetracene_theta=0.0_a=6.3_b=7.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.4,13.0,10.0,-27.59005345497281,-5.186929888906889,-4.3040484192897575,2,Done,tetracene_theta=10.0_a=3.4_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,13.1,10.0,-31.916724864859127,-7.388019105535933,-4.2851716634468175,2,Done,tetracene_theta=10.0_a=3.5_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.2,5.0,-36.695241125533364,-0.6972075356170535,-8.825206513574813,2,Done,tetracene_theta=5.0_a=6.4_b=7.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,13.0,0.0,-34.18754299241118,-7.950915655703285,-4.571427920251153,1,Done,tetracene_theta=0.0_a=3.7_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
