a,b,theta,A1,A2,E,E_p,E_t,machine_type,status,file_name
5.9,7.8,64.0,0,20,-51.3607723149471,-7.760386049398223,-8.960000054037664,1,Done,tetracene_A1=0_A2=20_a=5.9_b=7.8_theta=64.0_cx=0_cy=0_cz=0.log
5.9,7.4,65.0,0,10,-54.56340012256987,-7.591652375529518,-9.845023842877707,2,Done,tetracene_A1=0_A2=10_a=5.9_b=7.4_theta=65.0_cx=0_cy=0_cz=0.log
5.9,7.6,65.0,0,15,-52.65698207216336,-7.591872004210018,-9.368309515935833,2,Done,tetracene_A1=0_A2=15_a=5.9_b=7.6_theta=65.0_cx=0_cy=0_cz=0.log
5.9,7.3,65.0,0,1,-57.92374127288349,-7.591614724951795,-10.685127955744974,2,Done,tetracene_A1=0_A2=1_a=5.9_b=7.3_theta=65.0_cx=0_cy=0_cz=0.log
5.9,8.4,64.0,0,30,-54.346728449687355,-7.760803971323185,-9.706280126760248,1,Done,tetracene_A1=0_A2=30_a=5.9_b=8.4_theta=64.0_cx=0_cy=0_cz=0.log
5.9,8.1,64.0,0,25,-52.618608579970896,-7.760477665928192,-9.274413312028628,1,Done,tetracene_A1=0_A2=25_a=5.9_b=8.1_theta=64.0_cx=0_cy=0_cz=0.log
5.9,7.8,65.0,0,20,-51.80156796984375,-7.591506793163718,-9.154638595879078,1,Done,tetracene_A1=0_A2=20_a=5.9_b=7.8_theta=65.0_cx=0_cy=0_cz=0.log
5.9,7.5,64.0,0,10,-54.79626406286843,-7.760703569510952,-9.818714230961632,2,Done,tetracene_A1=0_A2=10_a=5.9_b=7.5_theta=64.0_cx=0_cy=0_cz=0.log
5.9,7.7,64.0,0,15,-52.942752635804936,-7.760825306526384,-9.35527550568804,2,Done,tetracene_A1=0_A2=15_a=5.9_b=7.7_theta=64.0_cx=0_cy=0_cz=0.log
5.9,7.4,64.0,0,1,-57.93501888285391,-7.760501511394978,-10.603503965015989,2,Done,tetracene_A1=0_A2=1_a=5.9_b=7.4_theta=64.0_cx=0_cy=0_cz=0.log
5.9,8.4,65.0,0,30,-54.457679748069495,-7.591727676917799,-9.818556098558474,1,Done,tetracene_A1=0_A2=30_a=5.9_b=8.4_theta=65.0_cx=0_cy=0_cz=0.log
5.9,8.1,65.0,0,25,-52.86776268086396,-7.5913009699434015,-9.421290185244287,1,Done,tetracene_A1=0_A2=25_a=5.9_b=8.1_theta=65.0_cx=0_cy=0_cz=0.log
5.9,7.5,64.5,0,10,-54.88637700956315,-7.695757539477199,-9.873715482652187,2,Done,tetracene_A1=0_A2=10_a=5.9_b=7.5_theta=64.5_cx=0_cy=0_cz=0.log
5.9,7.7,64.5,0,15,-53.06260202568957,-7.6959420276107275,-9.417679492617026,2,Done,tetracene_A1=0_A2=15_a=5.9_b=7.7_theta=64.5_cx=0_cy=0_cz=0.log
5.9,7.9,64.0,0,20,-52.14594294759445,-7.760386049398223,-9.156292712199502,1,Done,tetracene_A1=0_A2=20_a=5.9_b=7.9_theta=64.0_cx=0_cy=0_cz=0.log
5.9,7.4,64.5,0,1,-57.842310554813615,-7.695668433094398,-10.6127434221562,2,Done,tetracene_A1=0_A2=1_a=5.9_b=7.4_theta=64.5_cx=0_cy=0_cz=0.log
5.9,8.5,64.0,0,30,-54.53247642959468,-7.760803971323185,-9.752717121737078,1,Done,tetracene_A1=0_A2=30_a=5.9_b=8.5_theta=64.0_cx=0_cy=0_cz=0.log
5.9,8.2,64.0,0,25,-53.0939072445035,-7.760477665928192,-9.393237978161775,1,Done,tetracene_A1=0_A2=25_a=5.9_b=8.2_theta=64.0_cx=0_cy=0_cz=0.log
5.9,7.5,65.0,0,10,-54.85351556562818,-7.591652375529518,-9.917552703642288,2,Done,tetracene_A1=0_A2=10_a=5.9_b=7.5_theta=65.0_cx=0_cy=0_cz=0.log
5.9,7.7,65.0,0,15,-53.06223305081949,-7.591872004210018,-9.469622260599863,2,Done,tetracene_A1=0_A2=15_a=5.9_b=7.7_theta=65.0_cx=0_cy=0_cz=0.log
5.9,7.4,65.0,0,1,-57.630385367432616,-7.591614724951795,-10.611788979382254,2,Done,tetracene_A1=0_A2=1_a=5.9_b=7.4_theta=65.0_cx=0_cy=0_cz=0.log
5.9,7.9,64.5,0,20,-52.29953229497187,-7.695534146041608,-9.22711600072216,1,Done,tetracene_A1=0_A2=20_a=5.9_b=7.9_theta=64.5_cx=0_cy=0_cz=0.log
5.9,8.5,64.5,0,30,-54.54675604752265,-7.695878021651878,-9.788750001054725,1,Done,tetracene_A1=0_A2=30_a=5.9_b=8.5_theta=64.5_cx=0_cy=0_cz=0.log
5.9,8.2,64.5,0,25,-53.1640503120143,-7.6954814351629475,-9.443271860422099,1,Done,tetracene_A1=0_A2=25_a=5.9_b=8.2_theta=64.5_cx=0_cy=0_cz=0.log
6.0,7.3,64.0,0,10,-53.63358090445399,-7.538202328840271,-9.639294061693363,2,Done,tetracene_A1=0_A2=10_a=6.0_b=7.3_theta=64.0_cx=0_cy=0_cz=0.log
6.0,7.5,64.0,0,15,-51.54229840775953,-7.538094397052191,-9.116527403413784,2,Done,tetracene_A1=0_A2=15_a=6.0_b=7.5_theta=64.0_cx=0_cy=0_cz=0.log
