a,b,a_step1,b_step1,theta,A1,A2,R3t,R3p,E,E_p,E_t1,E_t2
9.261749294814669,5.921148537234985,7.3,5.9,25.5,-37.98349825527709,6.15022734784987,-2.6,0.5,-52.37106090527959,-7.812618726864457,-9.698552341142204,-8.674359384633135
9.323625904121208,5.930430001273095,7.3,5.9,25.5,-38.46786331214755,7.424475176891544,-2.6,0.6,-51.99666459404398,-7.858383031212725,-9.698552341142204,-8.44139692466706
9.386160024205852,5.9413803110051795,7.3,5.9,25.5,-38.94580810588517,8.713118638201001,-2.6,0.7,-51.64352706656791,-7.901284634950571,-9.698552341142204,-8.221926557191182
9.449338601193206,5.953990258641679,7.3,5.9,25.5,-39.417394243468934,10.016068700159641,-2.6,0.8,-51.31967794033699,-7.937685234937817,-9.698552341142204,-8.023601394088473
9.513148795220223,5.96824932455071,7.3,5.9,25.5,-39.88268515002738,11.333273010360072,-2.6,0.9,-51.031372236204334,-7.964630514383316,-9.698552341142204,-7.852503262576647
9.577577981932594,5.984145720150872,7.3,5.9,25.5,-40.34174589032438,12.664721095974734,-2.6,1.0,-50.78239885845687,-7.980108676012605,-9.698552341142204,-7.712538412073627
9.64261375354214,6.001666435249463,7.3,5.9,25.5,-40.794642998291415,14.010449862810718,-2.6,1.1,-50.57462904241402,-7.9828220292693,-9.698552341142204,-7.605940150795504
9.7082439194738,6.020797289396148,7.3,5.9,25.5,-41.24144431452801,15.370549453540491,-2.6,1.2,-50.406334625557065,-7.971550694666803,-9.698552341142204,-7.533064276969526
9.774456506629921,6.041522986797286,7.3,5.9,25.5,-41.68221883166516,16.74516954168628,-2.6,1.3,-50.27201987511944,-7.945575545774773,-9.698552341142204,-7.491882050642744
9.841239759298622,6.063827174318213,7.3,5.9,25.5,-42.11703654746046,18.13452615745404,-2.6,1.4,-50.16481481131632,-7.905055969837122,-9.698552341142204,-7.478799094678834
7.368174807915458,7.128113354878695,7.3,5.9,25.5,-7.800187884181699,-34.49949475225575,-2.5,-4.0,-50.30298623861745,-6.219787503709085,-9.808290034881791,-9.123415580717849
7.3824115301167,7.07248188403477,7.3,5.9,25.5,-8.569141879837645,-33.89400635361368,-2.5,-3.9,-50.36231103364844,-6.306533230934292,-9.808290034881791,-9.066332251008134
7.397972695272672,7.0178344238090995,7.3,5.9,25.5,-9.334998463138238,-33.28093708717958,-2.5,-3.8,-50.47766870702617,-6.385170274064876,-9.808290034881791,-9.045374044566415
7.414849964766651,6.96419413859206,7.3,5.9,25.5,-10.097504384075283,-32.659662183903606,-2.5,-3.7,-50.65469806292094,-6.45504351251293,-9.808290034881791,-9.064015484065749
7.433034373659253,6.911584478250989,7.3,5.9,25.5,-10.856413348062244,-32.02956715569057,-2.5,-3.6,-50.896112455637194,-6.516098980559036,-9.808290034881791,-9.123667212377768
7.4525163535546834,6.860029154456998,7.3,5.9,25.5,-11.611486423888492,-31.390049180194374,-2.5,-3.5,-51.200330558465794,-6.568932812544517,-9.808290034881791,-9.222942431806588
7.473285756613352,6.809552114493288,7.3,5.9,25.5,-12.362492415714312,-30.740518541468184,-2.5,-3.4,-51.562262010993436,-6.614559064502828,-9.808290034881791,-9.358281906112095
7.495331880577404,6.760177512462229,7.3,5.9,25.5,-13.109208198154294,-30.08040011420143,-2.5,-3.3,-51.9702163025504,-6.653942847275175,-9.808290034881791,-9.52287526911823
7.518643494673757,6.711929677819934,7.3,5.9,25.5,-13.851419013804989,-29.40913487862273,-2.5,-3.2,-52.409913814626634,-6.688356750644743,-9.808290034881791,-9.70831012178678
7.543208866258444,6.664833081180653,7.3,5.9,25.5,-14.588918732874635,-28.726181452523807,-2.5,-3.1,-52.865654247114435,-6.719646909390576,-9.808290034881791,-9.904890179284848
7.569015788066504,6.618912297349165,7.3,5.9,25.5,-15.321510074864795,-28.031017626278686,-2.5,-3.0,-53.31870893680025,-6.7502643772168085,-9.808290034881791,-10.100800056301525
7.5960516059331775,6.57419196555744,7.3,5.9,25.5,-16.049004792533196,-27.323141886211157,-2.5,-2.9,-53.75037934095599,-6.782935057766736,-9.808290034881791,-10.283964577829463
7.624303246854758,6.5306967469022785,7.3,5.9,25.5,-16.771223818630418,-26.60207491121827,-2.5,-2.8,-54.14123272977304,-6.820332143921405,-9.808290034881791,-10.44199418608332
7.653757247260981,6.488451279003334,7.3,5.9,25.5,-17.48799737614855,-25.86736102720159,-2.5,-2.7,-54.473885821178555,-6.864901669207029,-9.808290034881791,-10.563751206500456
7.684399781375251,6.447480127925948,7.3,5.9,25.5,-18.199165053045398,-25.118569603606847,-2.5,-2.6,-54.73471160745248,-6.918528673704714,-9.808290034881791,-10.640537095139734
7.71621668954417,6.407807737440318,7.3,5.9,25.5,-18.90457584261166,-24.355296376237984,-2.5,-2.5,-54.91445933643263,-6.982318830210716,-9.808290034881791,-10.666620803123806
7.749193506423749,6.369458375717672,7.3,5.9,25.5,-19.60408815082943,-23.577164680505337,-2.5,-2.4,-55.01063528447412,-7.056490512215532,-9.808290034881791,-10.640537095139734
7.783315488916019,6.332456079595025,7.3,5.9,25.5,-20.297569772228687,-22.783826579400653,-2.5,-2.3,-55.024495725519955,-7.140206621377729,-9.808290034881791,-10.563751206500456
7.818567643756751,6.296824596572467,7.3,5.9,25.5,-20.984897835882194,-21.974963870771074,-2.5,-2.2,-54.96398117078934,-7.231706364429556,-9.808290034881791,-10.44199418608332
7.854934754662192,6.26258732474047,7.3,5.9,25.5,-21.665958723290224,-21.15028895889771,-2.5,-2.1,-54.84160919114947,-7.328549982863478,-9.808290034881791,-10.283964577829463
7.892401408950257,6.229767250869008,7.3,5.9,25.5,-22.340647959994136,-20.309545575975186,-2.5,-2.0,-54.67340262548532,-7.427611221559346,-9.808290034881791,-10.100800056301525
7.930952023559341,6.198386886924694,7.3,5.9,25.5,-23.008870082822874,-19.452509339839928,-2.5,-1.9,-54.47766217589378,-7.52565087378025,-9.808290034881791,-9.904890179284848
7.970570870395671,6.168468205316454,7.3,5.9,25.5,-23.670538484720456,-18.578988135204536,-2.5,-1.8,-54.27254170761444,-7.619670697138645,-9.808290034881791,-9.70831012178678
8.011242100947891,6.1400325732035,7.3,5.9,25.5,-24.325575239126113,-17.688822306720994,-2.5,-1.7,-54.07599930011201,-7.706834346055984,-9.808290034881791,-9.52287526911823
8.052949770115296,6.11310068623117,7.3,5.9,25.5,-24.973910905883404,-16.78188465340928,-2.5,-1.6,-53.90226437151432,-7.78456024476327,-9.808290034881791,-9.358281906112095
8.095677859203638,6.087692502089769,7.3,5.9,25.5,-25.615484320642164,-15.858080215339312,-2.5,-1.5,-53.76448200060986,-7.85100853361655,-9.808290034881791,-9.222942431806588
8.139410298049853,6.063827174318213,7.3,5.9,25.5,-26.250242369688888,-14.917345844930379,-2.5,-1.4,-53.674026434193365,-7.905055969837122,-9.808290034881791,-9.123667212377768
