a,b,theta,E,E_p,E_t,machine_type,status,file_name
3.8,12.7,5.0,-26.163673024624586,-5.8646871246164665,-3.6085746938479133,1,Done,anthracene_theta=5_a=3.8_b=12.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7.0,10.0,-27.56359763350337,-0.4202585073653609,-6.680770154693164,1,Done,anthracene_theta=10_a=6.6_b=7.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,13.1,10.0,-25.33562086848542,-6.331346231396309,-3.1682321014232,1,Done,anthracene_theta=10_a=3.7_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.7,0.0,-25.483718248317018,-5.640544317546301,-3.5506574033061034,2,Done,anthracene_theta=0_a=3.7_b=12.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,6.9,5.0,-26.362897409359004,-0.3350275889970362,-6.423210557841233,2,Done,anthracene_theta=5_a=6.7_b=6.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.7,5.0,-26.00179803464561,-5.700132667319847,-3.65038317500148,1,Done,anthracene_theta=5_a=3.9_b=12.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,6.9,10.0,-27.586280865594745,-0.4662349099526182,-6.663452761422378,1,Done,anthracene_theta=10_a=6.5_b=6.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,7.0,5.0,-26.239149926695966,-0.3350275889970362,-6.392273687175474,2,Done,anthracene_theta=5_a=6.7_b=7.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,12.8,10.0,-25.60082165454515,-6.00479755748529,-3.397806634893641,1,Done,anthracene_theta=10_a=3.6_b=12.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.7,0.0,-25.87314593349584,-5.698917807894759,-3.6188275794265774,2,Done,anthracene_theta=0_a=3.8_b=12.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.6,5.0,-26.018354258732877,-5.824984567123464,-3.5920962811214845,1,Done,anthracene_theta=5_a=3.7_b=12.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,6.9,10.0,-27.68667995533906,-0.4202585073653609,-6.7115407351520835,1,Done,anthracene_theta=10_a=6.6_b=6.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,6.7,5.0,-26.462689069798216,-0.4193724631331861,-6.405986035882959,2,Done,anthracene_theta=5_a=6.5_b=6.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.8,10.0,-26.46508113737217,-6.331346231396309,-3.45059716864489,1,Done,anthracene_theta=10_a=3.7_b=12.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
