a,b,theta,A1,A2,E,E_p,E_t,machine_type,status,file_name
5.9,7.4,63.5,0,1,-42.820865733316175,-5.687869866960683,-7.861281499848701,2,Done,anthracene_A1=0_A2=1_a=5.9_b=7.4_theta=63.5_cx=0_cy=0_cz=0.log
5.9,7.4,64.5,0,10,-40.237364392727606,-5.6208078732015565,-7.248937161581125,1,Done,anthracene_A1=0_A2=10_a=5.9_b=7.4_theta=64.5_cx=0_cy=0_cz=0.log
5.9,7.3,64.5,0,5,-42.10063736583106,-5.620709981652908,-7.714804350631311,1,Done,anthracene_A1=0_A2=5_a=5.9_b=7.3_theta=64.5_cx=0_cy=0_cz=0.log
5.9,7.4,63.5,0,4,-42.37692248867826,-5.687917557661423,-7.7502718433388536,1,Done,anthracene_A1=0_A2=4_a=5.9_b=7.4_theta=63.5_cx=0_cy=0_cz=0.log
5.9,7.4,64.0,0,3,-42.595612234435976,-5.6663073684321725,-7.815749374392907,2,Done,anthracene_A1=0_A2=3_a=5.9_b=7.4_theta=64.0_cx=0_cy=0_cz=0.log
5.9,7.4,64.0,0,2,-42.72917397250421,-5.666296073002743,-7.849145456624683,2,Done,anthracene_A1=0_A2=2_a=5.9_b=7.4_theta=64.0_cx=0_cy=0_cz=0.log
5.9,7.4,64.0,0,1,-42.81275579356589,-5.666293562971988,-7.870042166905477,2,Done,anthracene_A1=0_A2=1_a=5.9_b=7.4_theta=64.0_cx=0_cy=0_cz=0.log
5.9,7.5,63.5,0,10,-40.337371916743,-5.688102045678535,-7.240291956346482,1,Done,anthracene_A1=0_A2=10_a=5.9_b=7.5_theta=63.5_cx=0_cy=0_cz=0.log
5.9,7.4,63.5,0,5,-42.10930704348721,-5.687942657968961,-7.683355431887321,1,Done,anthracene_A1=0_A2=5_a=5.9_b=7.4_theta=63.5_cx=0_cy=0_cz=0.log
5.9,7.4,64.5,0,3,-42.528516354504966,-5.6207200216595075,-7.821769077796488,2,Done,anthracene_A1=0_A2=3_a=5.9_b=7.4_theta=64.5_cx=0_cy=0_cz=0.log
5.9,7.4,64.0,0,4,-42.40703794872388,-5.6663136433344325,-7.768602665513754,1,Done,anthracene_A1=0_A2=4_a=5.9_b=7.4_theta=64.0_cx=0_cy=0_cz=0.log
5.9,7.4,64.5,0,2,-42.650245764059946,-5.620723786880262,-7.852199547574855,2,Done,anthracene_A1=0_A2=2_a=5.9_b=7.4_theta=64.5_cx=0_cy=0_cz=0.log
5.9,7.4,64.5,0,1,-42.72590088052673,-5.620723786880262,-7.871113326691558,2,Done,anthracene_A1=0_A2=1_a=5.9_b=7.4_theta=64.5_cx=0_cy=0_cz=0.log
5.9,7.5,64.0,0,10,-40.46962090372108,-5.6664617357309925,-7.284174358064772,1,Done,anthracene_A1=0_A2=10_a=5.9_b=7.5_theta=64.0_cx=0_cy=0_cz=0.log
5.9,7.4,64.0,0,5,-42.16193003254011,-5.666331213666125,-7.707316901301963,1,Done,anthracene_A1=0_A2=5_a=5.9_b=7.4_theta=64.0_cx=0_cy=0_cz=0.log
6.0,7.2,63.5,0,3,-42.21794659481385,-5.482064157142304,-7.813454570132308,2,Done,anthracene_A1=0_A2=3_a=6.0_b=7.2_theta=63.5_cx=0_cy=0_cz=0.log
6.0,7.2,63.5,0,2,-42.43387529649772,-5.482061647111549,-7.867438000568652,2,Done,anthracene_A1=0_A2=2_a=6.0_b=7.2_theta=63.5_cx=0_cy=0_cz=0.log
5.9,7.4,64.5,0,4,-42.35713835339993,-5.620713746640831,-7.7789277150295675,1,Done,anthracene_A1=0_A2=4_a=5.9_b=7.4_theta=64.5_cx=0_cy=0_cz=0.log
6.0,7.2,63.5,0,1,-42.56287127174436,-5.482055372092873,-7.899690131889657,2,Done,anthracene_A1=0_A2=1_a=6.0_b=7.2_theta=63.5_cx=0_cy=0_cz=0.log
5.9,7.5,64.5,0,10,-40.52066256687976,-5.6208078732015565,-7.319761705119162,1,Done,anthracene_A1=0_A2=10_a=5.9_b=7.5_theta=64.5_cx=0_cy=0_cz=0.log
5.9,7.4,64.5,0,5,-42.13388033560477,-5.620709981652908,-7.723115093074738,1,Done,anthracene_A1=0_A2=5_a=5.9_b=7.4_theta=64.5_cx=0_cy=0_cz=0.log
6.0,7.2,64.0,0,3,-42.40666144224815,-5.49968463787809,-7.851823041622993,2,Done,anthracene_A1=0_A2=3_a=6.0_b=7.2_theta=64.0_cx=0_cy=0_cz=0.log
6.0,7.2,64.0,0,2,-42.60672920034268,-5.4996745977550745,-7.90184500120813,2,Done,anthracene_A1=0_A2=2_a=6.0_b=7.2_theta=64.0_cx=0_cy=0_cz=0.log
6.0,7.2,64.0,0,1,-42.726927486713976,-5.499672087724321,-7.931895827816334,2,Done,anthracene_A1=0_A2=1_a=6.0_b=7.2_theta=64.0_cx=0_cy=0_cz=0.log
6.0,7.2,63.5,0,4,-41.91715344181284,-5.482081727590412,-7.738247496658005,1,Done,anthracene_A1=0_A2=4_a=6.0_b=7.2_theta=63.5_cx=0_cy=0_cz=0.log
6.0,7.3,63.5,0,10,-39.323330816579976,-5.482212249538861,-7.089726579375565,1,Done,anthracene_A1=0_A2=10_a=6.0_b=7.3_theta=63.5_cx=0_cy=0_cz=0.log
6.0,7.2,63.5,0,5,-41.5297463380266,-5.482100552762859,-7.641386308125219,1,Done,anthracene_A1=0_A2=5_a=6.0_b=7.2_theta=63.5_cx=0_cy=0_cz=0.log
6.0,7.2,64.5,0,3,-42.52900581201538,-5.501549597713165,-7.881476654147264,2,Done,anthracene_A1=0_A2=3_a=6.0_b=7.2_theta=64.5_cx=0_cy=0_cz=0.log
