R1,R2,heri,phi,E_mono_i,E_mono_t,E_t1,E_t3,E_p,E
4.7,0.5,56.0,11.0,-1059765.0679556539,-1059765.0380171516,-10.42920364974998,-10.429002846358344,-1.1061683529987931,-2119574.0347225037
5.0,0.9,56.0,-138.0,-1059766.4275125447,-1059766.4085554676,-14.137329667806625,-12.715843814890832,-5.942858555354178,-2119598.4281320884
4.6,0.6,56.0,11.0,-1059765.0690161458,-1059765.0387136878,-8.072608670219779,-9.114764727884904,-3.0242028690408915,-2119570.530882368
5.0,1.0,56.0,-137.0,-1059766.4834174106,-1059766.4659287068,-14.03673981456086,-13.148976316675544,-7.47827512351796,-2119602.277328627
5.1,1.1,56.0,-137.0,-1059766.483442511,-1059766.4657906548,-13.615002893609926,-12.539714307989925,-7.770707334158942,-2119600.8000822375
5.1,0.5,57.0,11.0,-1059765.067039489,-1059765.0378414488,-11.587354930816218,-10.667933554155752,-6.617814586730674,-2119587.8510870812
4.7,0.7,57.0,11.0,-1059765.0693863765,-1059765.0390776435,-10.0910447856877,-10.612857001600787,-6.564413485350087,-2119584.645094565
4.8,1.2,57.0,-136.0,-1059766.5392595255,-1059766.5244063637,-12.53444322408177,-13.121321951039135,-7.762028870405629,-2119599.8992539803
5.2,0.9,57.0,-137.0,-1059766.4836495894,-1059766.46674447,-13.269213508348912,-11.457297208253294,-7.841176707064733,-2119598.0857689064
4.9,1.2,57.0,-136.0,-1059766.5394540536,-1059766.5239922071,-13.549290046328679,-13.436909280484542,-7.579046954866499,-2119602.1939388243
4.8,1.1,57.0,-136.0,-1059766.5396423067,-1059766.5238416048,-12.74977328069508,-13.24713143077679,-7.650445042178035,-2119600.358183419
4.6,0.7,57.0,11.0,-1059765.0695683546,-1059765.0390964688,-7.486420203698799,-8.87263999460265,-6.25336305401288,-2119575.3335113283
5.0,1.1,57.0,-136.0,-1059766.5397615335,-1059766.5235529502,-13.920223757857457,-13.273800606140867,-7.741854424355552,-2119602.9350720607
5.1,0.7,57.0,11.0,-1059765.068539238,-1059765.0388831154,-11.70890361838974,-10.91285698232241,-6.366139150690287,-2119588.0832218565
4.9,0.5,57.0,11.0,-1059765.067403445,-1059765.038111278,-12.0016684087459,-11.354529895819724,-5.877980296500027,-2119588.5738719255
4.6,0.8,57.0,11.0,-1059765.0699636857,-1059765.039109019,-7.383514838758856,-8.98145022848621,-6.669427284039557,-2119576.1778574074
4.9,0.6,57.0,11.0,-1059765.068206658,-1059765.0386509367,-12.073888534680009,-11.539206088753417,-6.5934044474270195,-2119590.5198557363
4.9,1.1,57.0,-136.0,-1059766.5397176077,-1059766.523609426,-13.719640186289325,-13.517067407956347,-7.800087352050468,-2119603.136916926
4.6,0.6,57.0,11.0,-1059765.0689282943,-1059765.038908216,-7.573355439119041,-8.706814201781526,-4.811947483336553,-2119572.2920707585
4.9,0.7,57.0,11.0,-1059765.06897222,-1059765.0390023424,-12.106481403810903,-11.67589659220539,-6.656098971609026,-2119590.9849284976
4.9,1.0,57.0,-136.0,-1059766.5397866338,-1059766.5235466752,-13.825996856205165,-13.533470519352704,-7.298330356366932,-2119602.378928773
5.0,1.0,57.0,-136.0,-1059766.5397866338,-1059766.5237223778,-13.991923050023615,-13.263346289517358,-7.69129594322294,-2119602.956639577
5.1,1.2,57.0,-136.0,-1059766.539673682,-1059766.5236219761,-13.520305359503254,-12.68687795335427,-6.933395640924573,-2119599.344453566
4.9,0.8,57.0,11.0,-1059765.0695746297,-1059765.039165495,-12.10514480783604,-11.766609437763691,-6.39762760233134,-2119590.6475038202
5.1,0.6,57.0,11.0,-1059765.0677611257,-1059765.0384375833,-11.66530422354117,-10.808922500815243,-6.64349229587242,-2119588.3416367495
5.2,0.8,57.0,-138.0,-1059766.427788649,-1059766.409521833,-13.493014949373901,-11.006770128617063,-7.089344426058233,-2119596.0155694904
4.6,0.5,57.0,11.0,-1059765.0681062562,-1059765.0385066094,-7.628155887592584,-8.479755983687937,-1.4258282221853733,-2119565.1740930527
5.2,1.2,57.0,-136.0,-1059766.5397489835,-1059766.523659627,-12.926329494221136,-11.937386284116656,-6.5448539985809475,-2119595.8805481642
4.8,1.0,57.0,-136.0,-1059766.539792909,-1059766.523534125,-12.896278040250763,-13.296968275448307,-6.510202896548435,-2119598.4702254585
5.0,0.9,57.0,-137.0,-1059766.48339231,-1059766.465865956,-14.09940296318382,-12.87099566240795,-6.8125999653711915,-2119600.515255448
4.8,0.6,57.0,11.0,-1059765.0684451116,-1059765.0387450634,-11.511777626583353,-11.317042448325083,-6.319383380934596,-2119588.4035970867
